idx,block,trial,stimuli,reward,response,trialtype,regret
2,3,16,yellow/blue,20,yellow,catch,20
2,3,17,green/yellow,40,green,decision,0
2,3,18,green/red,0,green,catch,60
2,3,19,blue/red,80,blue,decision,0
2,3,20,green/yellow,0,green,decision,20
2,3,21,yellow/blue,20,yellow,catch,20
2,3,22,yellow/blue,20,yellow,catch,20
2,3,23,blue/red,40,blue,decision,20
2,3,24,red/blue,40,blue,decision,20
2,3,25,yellow/red,20,yellow,catch,40
2,3,26,yellow/green,20,yellow,decision,0
2,3,27,red/blue,60,red,decision,0
2,3,28,green/yellow,0,green,decision,20
2,3,29,green/yellow,20,yellow,decision,0
2,3,30,blue/red,40,blue,decision,20
2,3,31,green/red,0,green,catch,60
2,3,32,green/blue,40,green,catch,0
2,3,33,yellow/green,20,yellow,decision,20
2,3,34,blue/yellow,80,blue,catch,0
2,3,35,blue/green,80,blue,catch,0
2,3,36,red/blue,60,red,decision,20
2,3,37,yellow/blue,20,yellow,catch,60
2,3,38,yellow/green,20,yellow,decision,0
2,3,39,green/yellow,0,green,decision,20
2,3,40,blue/red,80,blue,decision,0
2,4,1,yellow/green,40,green,decision,0
2,4,2,yellow/green,20,yellow,decision,0
2,4,3,green/blue,0,green,catch,80
2,4,4,red/blue,60,red,decision,0
2,4,5,yellow/green,20,yellow,decision,0
2,4,6,red/green,60,red,catch,0
2,4,7,yellow/red,20,yellow,catch,40
2,4,8,blue/red,80,blue,decision,0
2,4,9,yellow/green,20,yellow,decision,0
2,4,10,red/yellow,60,red,catch,0
2,4,11,blue/green,80,blue,catch,0
2,4,12,blue/red,60,red,decision,20
2,4,13,red/blue,60,red,decision,0
2,4,14,yellow/green,20,yellow,decision,0
2,4,15,yellow/blue,20,yellow,catch,20
2,4,16,yellow/blue,20,yellow,catch,20
2,4,17,red/blue,60,red,decision,20
2,4,18,red/yellow,20,yellow,catch,40
2,4,19,green/yellow,0,green,decision,20
2,4,20,yellow/green,20,yellow,decision,0
2,4,21,red/blue,60,red,decision,0
2,4,22,blue/red,80,blue,decision,0
2,4,23,green/red,0,green,catch,60
2,4,24,yellow/blue,80,blue,catch,0
2,4,25,red/blue,60,red,decision,20
2,4,26,blue/red,40,blue,decision,20
2,4,27,red/blue,60,red,decision,20
2,4,28,yellow/green,20,yellow,decision,0
2,4,29,blue/red,40,blue,decision,20
2,4,30,green/red,0,green,catch,60
2,4,31,blue/yellow,40,blue,catch,0
2,4,32,red/yellow,60,red,catch,0
2,4,33,blue/red,40,blue,decision,20
2,4,34,blue/green,80,blue,catch,0
2,4,35,blue/yellow,40,blue,catch,0
2,4,36,blue/red,40,blue,decision,20
2,4,37,green/yellow,0,green,decision,20
2,4,38,green/yellow,20,yellow,decision,20
2,4,39,green/blue,40,green,catch,40
2,4,40,blue/red,60,red,decision,0
2,5,1,green/yellow,0,green,decision,20
2,5,2,yellow/green,20,yellow,decision,0
2,5,3,yellow/blue,20,yellow,catch,20
2,5,4,red/yellow,60,red,catch,0
2,5,5,blue/yellow,80,blue,catch,0
2,5,6,green/yellow,0,green,decision,20
2,5,7,blue/red,80,blue,decision,0
2,5,8,blue/green,80,blue,catch,0
2,5,9,green/yellow,0,green,decision,20
2,5,10,blue/red,40,blue,decision,20
2,5,11,yellow/green,20,yellow,decision,0
