Subject,Date,Session,Day,Trial,Left Path,Right Path,Path Taken,Notes
26,06/21/2013,26,Day 1,9,purple(0/2=2),yellow(1),left,
26,06/21/2013,26,Day 1,10,yellow(1),green(3),right,
26,06/22/2013,27,Day 2,1,yellow(1),green(3),right,
26,06/22/2013,27,Day 2,2,purple(0/2=0),orange(2/4=2),right,
26,06/22/2013,27,Day 2,3,green(3),yellow(1),left,
26,06/22/2013,27,Day 2,4,green(3),orange(2/4=2),right,
26,06/22/2013,27,Day 2,5,purple(0/2=2),x,right then left,
26,06/22/2013,27,Day 2,6,purple(0/2=2),yellow(1),left,
26,06/22/2013,27,Day 2,7,orange(2/4=2),purple(0/2=2),left,
26,06/22/2013,27,Day 2,8,x,green(3),right,
26,06/22/2013,27,Day 2,9,orange(2/4=2),green(3),right,
26,06/22/2013,27,Day 2,10,yellow(1),purple(0/2=2),left,
26,06/24/2013,28,Day 3,1,orange(2/4=4),green(3),right,
26,06/24/2013,28,Day 3,2,yellow(1),purple(0/2=2),left,
26,06/24/2013,28,Day 3,3,x,yellow(1),right,
26,06/24/2013,28,Day 3,4,orange(2/4=4),purple(0/2=0),left,
26,06/24/2013,28,Day 3,5,green(3),orange(2/4=2),right,
26,06/24/2013,28,Day 3,6,yellow(1),green(3),right,
26,06/24/2013,28,Day 3,7,purple(0/2=2),orange(2/4=4),right,
26,06/24/2013,28,Day 3,8,purple(0/2=0),yellow(1),left,
26,06/24/2013,28,Day 3,9,green(3),x,left,"accidentally kicked start box before beginning of trial, bird taking a long time to return to the start box"
26,06/24/2013,28,Day 3,10,green(3),yellow(1),left,didn't eat food in start box
26,06/25/2013,29,Day 4,1,x,purple(0/2=0),left then right,
26,06/25/2013,29,Day 4,2,orange(2/4=2),green(3),right,
26,06/25/2013,29,Day 4,3,purple(0/2=0),yellow(1),right,
26,06/25/2013,29,Day 4,4,yellow(1),green(3),right,
26,06/25/2013,29,Day 4,5,yellow(1),purple(0/2=0),left,
26,06/25/2013,29,Day 4,6,green(3),yellow(1),left,
26,06/25/2013,29,Day 4,7,purple(0/2=0),orange(2/4=4),right,
26,06/25/2013,29,Day 4,8,green(3),orange(2/4=4),left,
26,06/25/2013,29,Day 4,9,orange(2/4=4),purple(0/2=2),left,
26,06/25/2013,29,Day 4,10,orange(2/4=2),x,left,
26,06/26/2013,30,Day 5,1,yellow(1),x,left,
26,06/26/2013,30,Day 5,2,yellow(1),purple(0/2=0),left,
26,06/26/2013,30,Day 5,3,green(3),yellow(1),left,
26,06/26/2013,30,Day 5,4,yellow(1),green(3),right,
26,06/26/2013,30,Day 5,5,green(3),orange(2/4=4),left,
26,06/26/2013,30,Day 5,6,orange(2/4=4),green(3),left,
26,06/26/2013,30,Day 5,7,x,orange(2/4=2),right,
26,06/26/2013,30,Day 5,8,purple(0/2=2),orange(2/4=2),right,
26,06/26/2013,30,Day 5,9,purple(0/2=2),yellow(1),left,
26,06/26/2013,30,Day 5,10,orange(2/4=2),purple(0/2=0),left,
26,06/27/2013,31,Day 6,1,green(3),orange(2/4=2),left,
26,06/27/2013,31,Day 6,2,purple(0/2=0),orange(2/4=2),right,
26,06/27/2013,31,Day 6,3,orange(2/4=2),purple(0/2=2),left,
26,06/27/2013,31,Day 6,4,green(3),yellow(1),left,
26,06/27/2013,31,Day 6,5,orange(2/4=2),green(3),left,
26,06/27/2013,31,Day 6,6,x,green(3),right,
26,06/27/2013,31,Day 6,7,purple (0/2=0),x,left,
26,06/27/2013,31,Day 6,8,yellow(1),purple(0/2=2),left,
26,06/27/2013,31,Day 6,9,purple(0/2=2),yellow(1),right,
26,06/27/2013,31,Day 6,10,yellow(1),green(3),right,
26,06/28/2013,32,Day 7,1,purple(0/2=2),orange(2/4=4),right,
26,06/28/2013,32,Day 7,2,yellow(1),purple(0/2=2),left,
26,06/28/2013,32,Day 7,3,yellow(1),green(3),right,
26,06/28/2013,32,Day 7,4,green(3),orange(2/4=2),left,
26,06/28/2013,32,Day 7,5,purple(0/2=0),yellow(1),right,
26,06/28/2013,32,Day 7,6,green(3),x,left,
26,06/28/2013,32,Day 7,7,green(3),yellow(1),left,
26,06/28/2013,32,Day 7,8,x,yellow(1),right,
26,06/28/2013,32,Day 7,9,orange(2/4=4),green(3),right,
26,06/28/2013,32,Day 7,10,orange(2/4=4),purple(0/2=0),left,
26,7/2/2013,33,Day 8,1,orange(2/4=2),green(3),right,
26,7/2/2013,33,Day 8,2,purple(0/2=0),orange(2/4=4),right,
26,7/2/2013,33,Day 8,3,orange(2/4=4),x,left,
